// Source: https://data.worldbank.org/indicator/AG.LND.TOTL.K2?end=2017&start=2017
Country Name,Country Code,2017
Aruba,ABW,180
Afghanistan,AFG,652860
Angola,AGO,1246700
Albania,ALB,27400
Andorra,AND,470
Arab World,ARB,13621413
United Arab Emirates,ARE,83600
Argentina,ARG,2736690
Armenia,ARM,28470
American Samoa,ASM,200
Antigua and Barbuda,ATG,440
Australia,AUS,7682300
Austria,AUT,82523
Azerbaijan,AZE,82663
Burundi,BDI,25680
Belgium,BEL,30280
Benin,BEN,112760
Burkina Faso,BFA,273600
Bangladesh,BGD,130170
Bulgaria,BGR,108560
Bahrain,BHR,771
"Bahamas, The",BHS,10010
Bosnia and Herzegovina,BIH,51200
Belarus,BLR,202910
Belize,BLZ,22810
Bermuda,BMU,50
Bolivia,BOL,1083300
Brazil,BRA,8358140
Barbados,BRB,430
Brunei Darussalam,BRN,5270
Bhutan,BTN,38117
Botswana,BWA,566730
Central African Republic,CAF,622980
Canada,CAN,9093510
Central Europe and the Baltics,CEB,1103976
Switzerland,CHE,39516
Channel Islands,CHI,190
Chile,CHL,743532
China,CHN,9388211
Cote d'Ivoire,CIV,318000
Cameroon,CMR,472710
"Congo, Dem. Rep.",COD,2267050
"Congo, Rep.",COG,341500
Colombia,COL,1109500
Comoros,COM,1861
Cabo Verde,CPV,4030
Costa Rica,CRI,51060
Caribbean small states,CSS,404850
Cuba,CUB,104020
Curacao,CUW,444
Cayman Islands,CYM,240
Cyprus,CYP,9240
Czech Republic,CZE,77210
Germany,DEU,348900
Djibouti,DJI,23180
Dominica,DMA,750
Denmark,DNK,42262
Dominican Republic,DOM,48310
Algeria,DZA,2381741
East Asia & Pacific (excluding high income),EAP,15913501
Early-demographic dividend,EAR,33107715
East Asia & Pacific,EAS,24387020.3
Europe & Central Asia (excluding high income),ECA,22622066
Europe & Central Asia,ECS,27439638
Ecuador,ECU,248360
"Egypt, Arab Rep.",EGY,995450
Euro area,EMU,2678181
Eritrea,ERI,101000
Spain,ESP,500210
Estonia,EST,42390
Ethiopia,ETH,1000000
European Union,EUU,4238213
Fragile and conflict affected situations,FCS,15309698
Finland,FIN,303890
Fiji,FJI,18270
France,FRA,547557
Faroe Islands,FRO,1396
"Micronesia, Fed. Sts.",FSM,700
Gabon,GAB,257670
United Kingdom,GBR,241930
Georgia,GEO,69490
Ghana,GHA,227540
Gibraltar,GIB,10
Guinea,GIN,245720
"Gambia, The",GMB,10120
Guinea-Bissau,GNB,28120
Equatorial Guinea,GNQ,28050
Greece,GRC,128900
Grenada,GRD,340
Greenland,GRL,410450
Guatemala,GTM,107160
Guam,GUM,540
Guyana,GUY,196850
High income,HIC,37884606.7
"Hong Kong SAR, China",HKG,1050
Honduras,HND,111890
Heavily indebted poor countries (HIPC),HPC,19754791
Croatia,HRV,55960
Haiti,HTI,27560
Hungary,HUN,90530
IBRD only,IBD,69397187
IDA & IBRD total,IBT,95716398
IDA total,IDA,26319211
IDA blend,IDB,5937530
Indonesia,IDN,1811570
IDA only,IDX,20381681
Isle of Man,IMN,570
India,IND,2973190
Not classified,INX,
Ireland,IRL,68890
"Iran, Islamic Rep.",IRN,1628760
Iraq,IRQ,434320
Iceland,ISL,100250
Israel,ISR,21640
Italy,ITA,294140
Jamaica,JAM,10830
Jordan,JOR,88780
Japan,JPN,364560
Kazakhstan,KAZ,2699700
Kenya,KEN,569140
Kyrgyz Republic,KGZ,191800
Cambodia,KHM,176520
Kiribati,KIR,810
St. Kitts and Nevis,KNA,260
"Korea, Rep.",KOR,97480
Kuwait,KWT,17820
Latin America & Caribbean (excluding high income),LAC,16282240
Lao PDR,LAO,230800
Lebanon,LBN,10230
Liberia,LBR,96320
Libya,LBY,1759540
St. Lucia,LCA,610
Latin America & Caribbean,LCN,20039364.4
Least developed countries: UN classification,LDC,20138798
Low income,LIC,14232607
Liechtenstein,LIE,160
Sri Lanka,LKA,62710
Lower middle income,LMC,22079554
Low & middle income,LMY,91848566
Lesotho,LSO,30360
Late-demographic dividend,LTE,44530502
Lithuania,LTU,62650
Luxembourg,LUX,2590
Latvia,LVA,62180
